Species	Fe.level	Cu.level	Growthrate.dd.1	Growthrate.Percent..u.umax.	Growthrate.specific.d.1	Growthrate.Specific.Percent..u.umax.	X14C.per.Cell.Vol.alpha	X14C.per.Cell.Vol.ek	X14C.per.Chla.alpha	X14C.per.Chla.ek	14C.per.Chla.at.155uE	cell.size..um	cell.volume.fl.cell	Chla.per.cell.pg.cell	Chla.per.cell.vol.fg.fL	FeDFB.zmol.um.2.h.	FeDFB.zmol.cell.1.h.	GrossPchla.mol.O2.mol.Chla..h.	GrossPcell..mol.O2.cell..h.	Gross.P.CellVol..mol.O2.L.	FvFm.old	Sig.old	p.old	PQ_Siz.old	AOXactivity	Fe.tot.nmol	Cu.tot.nmol	Cell.Density	Treatment	Merged
TO 1003	high	high	1.43	94.26	0.99	94.08	0.05	242.3919457	0.01851788	297.0019926	2.64	5.13	70.83	0.29	4.52	3	250.32	370.23	1.21E-07	1.2	0.59	590	0.56	4.9	47.05	1370	10.2	165000	control	TO 1003 control
TO 1003	high	high	1.48	97.64	1.03	97.37	0.04	216.4620232	0.013359747	216.4706912	1.78	5.27	76.73	0.31	4.35	2.2	194.37	413.44	1.45E-07	1.64	0.6	578	0.53	3.8	49.74	1370	10.2	110000	control	TO 1003 control
TO 1003	high	high	1.65	108.24	1.14	108.55	0.14	296.9616014	0.01351388	242.4426872	1.85	5.27	76.48	0.3	4.14	7.4	648.9	661.76	2.40E-07	2.72	NA	NA	NA	NA	49.73	1370	10.2	312000	control	TO 1003 control
TO 1003	high	low	0.59	38.89	0.41	38.89	0	176.8947558	0.002163481	176.9763315	0.27	4.64	52.29	0.26	6.49	1.4	94.8	153.16	4.44E-08	0.85	0.27	786	0.4	6.7	53.14	1370	0.6	79900	low Cu	TO 1003 low Cu
TO 1003	high	low	0.92	60.37	0.64	60.37	0.02	170.1603778	0.007328297	170.1166894	0.90	4.76	56.53	0.33	7.92	0.6	41.1	83.46	3.06E-08	0.52	0.29	763	0.41	5.5	41.62	1370	0.6	111000	low Cu	TO 1003 low Cu
TO 1003	high	low	0.67	44.32	0.47	44.32	0.03	164.223427	0.00749268	168.9092379	0.92	4.77	56.66	0.44	7.8	1.1	79.8	66.43	3.29E-08	0.59	0.31	743	0.41	5.8	66.04	1370	0.6	96700	low Cu	TO 1003 low Cu
TO 1003	low	high	1.32	87.05	0.92	87.05	0.08	161.0446241	0.016598729	161.0523222	1.99	5.38	81.48	0.382	4.687	0.8	69.7	NA	NA	NA	0.31	638	0.5	3.8	NA	12.5	10.2	149000	low Fe	TO 1003 low Fe
TO 1003	low	high	1.29	84.76	0.89	84.76	0.06	169.9698981	0.016905687	169.8776622	2.07	5.32	78.65	0.359	4.561	1.5	131.8	255.22	1.02E-07	1.31	0.34	616	0.4	0	67.58	12.5	10.2	116000	low Fe	TO 1003 low Fe
TO 1003	low	high	1.22	80.32	0.85	80.32	0.07	156.6620203	0.014135772	156.6076756	1.68	5.37	81.16	0.372	4.582	1.3	116.1	165.84	6.90E-08	1.19	0.41	564	0.4	4.9	69.52	12.5	10.2	161000	low Fe	TO 1003 low Fe
TO 1003	low	low	0.73	47.84	0.5	47.84	0.01	188.0115497	0.009126506	188.6025608	1.16	4.65	52.72	0.142	2.684	9.9	670.1	237.53	3.76E-08	0.77	0.25	850	0.33	7.2	75.08	12.5	1.96	80000	low FeCu	TO 1003 low FeCu
TO 1003	low	low	0.85	55.84	0.59	55.84	0.01	203.9688056	0.00817677	203.8973894	1.07	4.74	55.86	0.174	3.114	11.7	823.5	206.99	4.03E-08	0.6	0.27	785	0.35	5	54.98	12.5	1.96	102000	low FeCu	TO 1003 low FeCu
TO 1003	low	low	0.99	64.83	0.68	64.83	0.02	210.5756036	0.00983053	210.5817219	1.30	4.71	54.6	0.178	3.269	10.4	722.3	330.11	6.59E-08	1.29	0.32	755	0.35	4.8	60.29	12.5	1.96	123000	low FeCu	TO 1003 low FeCu
TO 1005	high	high	1.85	101.41	1.28	101.59	0.05	269.7102139	0.008966207	269.7096531	1.25	5.3	77.92	0.456	5.849	6.87	606.5	296.68	1.51E-07	1.25	0.63	NA	NA	NA	57.93	1370	14.3	137000	control	TO 1005 control
TO 1005	high	high	1.77	97.5	1.23	97.67	0.04	241.5882049	0.013098904	241.5950401	1.79	5.74	99.01	0.324	3.272	0.01	385.39	405.11	1.47E-07	1.55	0.59	575	0.57	5.9	72.43	1370	14.3	121000	control	TO 1005 control
TO 1005	high	high	1.83	100.56	1.27	100.74	0.05	222.284048	0.020317816	235.8449757	2.76	5.21	74.15	0.275	3.707	9.52	812.78	384.32	1.18E-07	1.55	0.62	584	0.58	5.4	51.33	1370	14.3	99500	control	TO 1005 control
TO 1005	high	low	1.19	65.34	0.82	65.46	0.09	248.9946218	0.016341057	248.9693684	2.25	4.59	50.79	0.22	4.28	4.012267981	291.6291775	274.0129575	6.67E-08	1.25	0.53	542	0.52	4.9	50.77	1370	6.08	316000	low Cu	TO 1005 low Cu
TO 1005	high	low	1.14	62.74	0.79	62.85	0.06	238.1556221	0.015406324	238.1457751	2.10	4.59	50.72	0.15	2.97	0.010785389	87.16410842	404.8141672	6.83E-08	1.34	0.61	603	0.56	5.3	75.35	1370	6.08	295000	low Cu	TO 1005 low Cu
TO 1005	high	low	1.24	68.3	0.86	68.42	0.2	182.0190949	0.029942132	181.9943095	3.77	5.28	77.1	0.32	4.12	NA	NA	206.5024934	7.33E-08	0.94	0.59	NA	NA	NA	64.94	1370	6.08	250000	low Cu	TO 1005 low Cu
TO 1005	low	high	1.37	75.12	0.95	75.25	0.03	238.1027307	0.021055888	238.0873893	2.87	4.96	63.8	0.149	2.334	9.59	741	NA	NA	NA	0.55	NA	NA	NA	NA	12.5	14.3	122000	low Fe	TO 1005 low Fe
TO 1005	low	high	1.25	68.79	0.87	68.91	0.05	237.3754698	0.016272452	229.7226289	2.20	4.94	62.96	0.144	2.285	NA	NA	306.7426595	4.94E-08	0.76	0.55	686	0.56	5.7	51.54	12.5	14.3	183000	low Fe	TO 1005 low Fe
TO 1005	low	high	1.09	59.96	0.76	60.07	0.01	219.1823325	0.014867626	219.1764073	1.98	4.87	60.59	0.142	2.342	19.01354628	1418.426502	262.8755779	4.17E-08	0.68	0.41	704	0.53	2.8	66.85	12.5	14.3	81100	low Fe	TO 1005 low Fe
TO 1005	low	low	0.86	47.34	0.6	47.42	0.03	154.4114899	0.016285715	154.4052135	1.92	4.614	51.43	0.153038987	2.975566588	15.69	1049.05	324.59	5.56E-08	1.05	0.5	698	0.56	3.06	114.18	12.5	6.08	126000	low FeCu	TO 1005 low FeCu
TO 1005	low	low	0.62	33.99	0.43	34.05	0.02	169.9236811	0.013058501	169.9052835	1.60	4.528	48.6	0.145499044	2.993899122	16.6	1069.33	409.72	6.67E-08	0.92	0.43	693	0.55	2.56	87.52	12.5	6.08	124000	low FeCu	TO 1005 low FeCu
TO 1005	low	low	0.84	46.05	0.58	46.14	0.02	164.1635901	0.014617238	164.1617133	1.77	4.528	48.62	0.140191783	2.883291656	14.99	965.85	322.52	5.06E-08	1.04	0.48	727	0.54	3.09	42.58	12.5	6.08	116000	low FeCu	TO 1005 low FeCu
